school_name,school_rank,school_address
内蒙古丰州职业学院,1359,内蒙古自治区
内蒙古交通职业技术学院,771,内蒙古自治区
内蒙古体育职业学院,873,内蒙古自治区
内蒙古农业大学,149,内蒙古自治区
内蒙古化工职业学院,497,内蒙古自治区
内蒙古北方职业技术学院,1293,内蒙古自治区
内蒙古医科大学,1420,内蒙古自治区
内蒙古商贸职业学院,1060,内蒙古自治区
内蒙古大学,84,内蒙古自治区
内蒙古大学创业学院,1510,内蒙古自治区
内蒙古工业大学,201,内蒙古自治区
内蒙古工业职业学院,1259,内蒙古自治区
内蒙古师范大学,169,内蒙古自治区
内蒙古建筑职业技术大学,1489,内蒙古自治区
内蒙古机电职业技术学院,765,内蒙古自治区
内蒙古民族大学,1429,内蒙古自治区
内蒙古民族幼儿师范高等专科学校,1539,内蒙古自治区
内蒙古电子信息职业技术学院,1398,内蒙古自治区
内蒙古科技大学,220,内蒙古自治区
内蒙古科技职业学院,541,内蒙古自治区
内蒙古经贸外语职业学院,977,内蒙古自治区
内蒙古美术职业学院,744,内蒙古自治区
内蒙古能源职业学院,1049,内蒙古自治区
内蒙古艺术学院,677,内蒙古自治区
内蒙古警察学院,1242,内蒙古自治区
内蒙古财经大学,1371,内蒙古自治区
内蒙古鸿德文理学院,1646,内蒙古自治区
包头职业技术学院,1534,内蒙古自治区
包头轻工职业技术学院,554,内蒙古自治区
包头钢铁职业技术学院,1103,内蒙古自治区
包头铁道职业技术学院,1070,内蒙古自治区
北京中医药大学,399,北京市
北京中医药大学东方学院,1036,河北省
北京交通大学,29,北京市
北京交通职业技术学院,461,北京市
北京交通运输职业学院,1152,北京市
北京京北职业技术学院,1628,北京市
北京体育大学,1283,北京市
北京体育职业学院,1343,北京市
北京信息科技大学,150,北京市
北京信息职业技术学院,1154,北京市
北京农业职业学院,1189,北京市
北京农学院,186,北京市
北京劳动保障职业学院,880,北京市
北京化工大学,52,北京市
北京北大方正软件职业技术学院,853,北京市
北京协和医学院,1432,北京市
北京卫生职业学院,816,北京市
北京印刷学院,200,北京市
北京城市学院,432,北京市
北京培黎职业学院,931,北京市
北京外国语大学,532,北京市
北京大学,2,北京市
北京工业大学,51,北京市
北京工业大学耿丹学院,942,北京市
北京工业职业技术学院,1217,北京市
北京工商大学,1611,北京市
北京师范大学,16,北京市
北京建筑大学,114,北京市
北京戏曲艺术职业学院,1334,北京市
北京政法职业学院,448,北京市
北京服装学院,1699,北京市
北京林业大学,63,北京市
北京汇佳职业学院,1623,北京市
北京物资学院,918,北京市
北京理工大学,12,北京市
北京电子科技学院,145,北京市
北京电影学院,693,北京市
北京石油化工学院,202,北京市
北京科技大学,25,北京市
北京科技大学天津学院,1425,天津市
北京科技经营管理学院,1213,北京市
北京科技职业大学,862,北京市
北京科技职业学院,1274,北京市
北京第二外国语学院,1400,北京市
北京第二外国语学院中瑞酒店管理学院,991,北京市
北京经济技术职业学院,1079,北京市
北京经济管理职业学院,1319,北京市
